"","Date","dem","rep","diff","summed"
"1",2020-02-25,35,-57,92,-22
"2",2020-02-26,35,-58,93,-23
"3",2020-02-27,35,-58,93,-23
"4",2020-02-28,35,-58,93,-23
"5",2020-02-29,36,-58,94,-22
"6",2020-03-01,37,-58,95,-21
"7",2020-03-02,37,-57,94,-20
"8",2020-03-03,37,-56,93,-19
"9",2020-03-04,38,-56,94,-18
"10",2020-03-05,39,-56,95,-17
"11",2020-03-06,39,-56,95,-17
"12",2020-03-07,41,-56,97,-15
"13",2020-03-08,43,-54,97,-11
"14",2020-03-09,46,-51,97,-5
"15",2020-03-10,49,-48,97,1
"16",2020-03-11,52,-44,96,8
"17",2020-03-12,55,-39,94,16
"18",2020-03-13,58,-34,92,24
"19",2020-03-14,61,-29,90,32
"20",2020-03-15,63,-26,89,37
"21",2020-03-16,66,-21,87,45
"22",2020-03-17,68,-16,84,52
"23",2020-03-18,69,-13,82,56
"24",2020-03-19,71,-9,80,62
"25",2020-03-20,73,-4,77,69
"26",2020-03-21,74,0,74,74
"27",2020-03-22,76,4,72,80
"28",2020-03-23,76,6,70,82
"29",2020-03-24,77,8,69,85
"30",2020-03-25,77,11,66,88
"31",2020-03-26,78,13,65,91
"32",2020-03-27,78,14,64,92
"33",2020-03-28,78,15,63,93
"34",2020-03-29,78,13,65,91
"35",2020-03-30,79,14,65,93
"36",2020-03-31,79,15,64,94
"37",2020-04-01,80,18,62,98
"38",2020-04-02,80,19,61,99
"39",2020-04-03,81,22,59,103
"40",2020-04-04,81,22,59,103
"41",2020-04-05,82,23,59,105
