"","Date","Confirmed_daily","Confirmed_total","Death_daily","Death_total","Recovered_daily","Recovered_total","Active"
"2",2020-01-21,1,1,0,0,0,0,1
"3",2020-01-24,1,2,0,0,0,0,2
"4",2020-01-25,1,3,0,0,0,0,3
"5",2020-01-26,2,5,0,0,0,0,5
"6",2020-01-30,1,6,0,0,0,0,6
"7",2020-01-31,1,7,0,0,0,0,7
"8",2020-02-01,1,8,0,0,0,0,8
"9",2020-02-02,3,11,0,0,0,0,11
"10",2020-02-05,1,12,0,0,0,0,12
"11",2020-02-15,0,12,0,0,3,3,9
"12",2020-02-20,2,14,0,0,2,5,9
"13",2020-02-25,0,14,0,0,1,6,8
"14",2020-02-26,1,15,0,0,0,6,9
"15",2020-02-27,0,15,0,0,0,6,9
"16",2020-02-28,4,19,0,0,0,6,13
"17",2020-02-29,5,24,1,1,1,7,16
"20",2020-03-01,18,42,1,2,2,9,31
"21",2020-03-02,15,57,4,6,0,9,42
"22",2020-03-03,28,85,3,9,0,9,67
"23",2020-03-04,26,111,2,11,0,9,91
"24",2020-03-05,64,175,0,11,0,9,155
"25",2020-03-06,77,252,3,14,6,15,223
"26",2020-03-07,101,353,5,19,0,15,319
"27",2020-03-08,144,497,2,21,0,15,461
"28",2020-03-09,148,645,5,26,0,15,604
"29",2020-03-10,291,936,5,31,0,15,890
"30",2020-03-11,269,1205,6,37,0,15,1153
"31",2020-03-12,393,1598,4,41,0,15,1542
"32",2020-03-13,565,2163,8,49,1,16,2098
"33",2020-03-14,662,2825,7,56,33,49,2720
"34",2020-03-15,676,3501,6,62,11,60,3379
"35",2020-03-16,872,4373,14,76,15,75,4222
"36",2020-03-17,1291,5664,21,97,32,107,5460
"37",2020-03-18,2410,8074,26,123,0,107,7844
"38",2020-03-19,3948,12022,52,175,2,109,11738
"39",2020-03-20,5417,17439,55,230,38,147,17062
"40",2020-03-21,6271,23710,68,298,24,171,22941
"41",2020-03-22,8631,32341,110,408,7,178,31755
"42",2020-03-23,10410,42751,111,519,118,296,41936
"43",2020-03-24,9939,52690,162,681,83,379,51630
"44",2020-03-25,12226,64916,225,906,15,394,63616
"45",2020-03-26,17050,81966,253,1159,1470,1864,78943
"46",2020-03-27,19046,101012,433,1592,601,2465,96955
"47",2020-03-28,20093,121105,447,2039,766,3231,115835
"48",2020-03-29,19118,140223,392,2431,1328,4559,133233
"49",2020-03-30,20463,160686,555,2986,947,5506,152194
"50",2020-03-31,25305,185991,821,3807,1745,7251,174933
"51",2020-04-01,26756,212747,940,4747,1627,8878,199122
"52",2020-04-02,28879,241626,1075,5822,1525,10403,225401
"53",2020-04-03,32525,274151,1185,7007,1880,12283,254861
"54",2020-04-04,33725,307876,1353,8360,2542,14825,284691
"55",2020-04-05,25717,333593,1175,9535,3152,17977,306081
"56",2020-04-06,29359,362952,1212,10747,1596,19573,332632
"57",2020-04-07,30512,393464,1927,12674,2101,21674,359116
"58",2020-04-08,32282,425746,1936,14610,1217,22891,388245
"59",2020-04-09,34243,459989,1856,16466,3037,25928,417595
"60",2020-04-10,33578,493567,2078,18544,1386,27314,447709
"61",2020-04-11,31869,525436,1899,20443,3139,30453,474540
"62",2020-04-12,28057,553493,1493,21936,2181,32634,498923
"63",2020-04-13,24685,578178,1462,23398,4314,36948,517832
"64",2020-04-14,25987,604165,2378,25776,1872,38820,539569
"65",2020-04-15,29465,633630,2438,28214,9888,48708,556708
"66",2020-04-16,32076,665706,2141,30355,9046,57754,577597
"67",2020-04-17,30915,696621,2080,32435,2756,60510,603676
"68",2020-04-18,28084,724705,1743,34178,7775,68285,622242
"69",2020-04-19,26013,750718,1634,35812,2727,71012,643894
"70",2020-04-20,25132,775850,1643,37455,1377,72389,666006
"71",2020-04-21,25178,801028,2624,40079,10534,82923,715481
"72",2020-04-22,29246,830274,2119,42198,1127,84050,704026
"73",2020-04-23,31277,861551,1840,44038,1872,85922,731591
"74",2020-04-24,35930,897481,2053,46091,24510,110432,740958
"75",2020-04-25,34782,932263,1825,47916,7730,118162,766185
"76",2020-04-26,26858,959121,1161,49077,619,118781,791263
"77",2020-04-27,22042,981163,1237,50314,20209,138990,791859
"78",2020-04-28,24359,1005522,2204,52518,3248,142238,810766
"79",2020-04-29,25869,1031391,2536,55054,5173,147411,828926
"80",2020-04-30,29637,1061028,2083,57137,8326,155737,848154
"83",2020-05-01,32964,1093992,1794,58931,5826,161563,873498
"84",2020-05-02,30531,1124523,1668,60599,12162,173725,890199
"85",2020-05-03,25382,1149905,1117,61716,4538,178263,909926
"86",2020-05-04,21278,1171183,877,62593,9805,188068,920522
"87",2020-05-05,22226,1193409,2435,65028,12560,200628,920522
"88",2020-05-06,24805,1218214,2701,67729,12456,213084,937401
"89",2020-05-07,27514,1245728,1971,69700,4166,217250,958778
"90",2020-05-08,27095,1272823,1695,71395,6353,223603,977825
"91",2020-05-09,25537,1298360,1555,72950,14475,238078,987332
"92",2020-05-10,20687,1319047,945,73895,18258,256336,988816
"93",2020-05-11,17777,1336824,840,74735,5889,262225,999864
"94",2020-05-12,21436,1358260,1591,76326,34521,296746,985188
"95",2020-05-13,20481,1378741,1715,78041,13513,310259,990441
"96",2020-05-14,26742,1405483,1858,79899,7768,318027,1007557
"97",2020-05-15,25335,1430818,1524,81423,8215,326242,1023153
"98",2020-05-16,24482,1455300,1231,82654,12990,339232,1033414
"99",2020-05-17,19692,1474992,785,83439,7157,346389,1045164
"100",2020-05-18,21100,1496092,792,84231,9994,356383,1055478
"101",2020-05-19,19658,1515750,1425,85656,4797,361180,1068914
"102",2020-05-20,22344,1538094,1528,87184,8896,370076,1080834
"103",2020-05-21,24942,1563036,1286,88470,12093,382169,1092397
"104",2020-05-22,22209,1585245,1262,89732,21032,403201,1092312
"105",2020-05-23,22695,1607940,1089,90821,43713,446914,1070205
"106",2020-05-24,20243,1628183,646,91467,4788,451702,1085014
"107",2020-05-25,18543,1646726,504,91971,12968,464670,1090085
"108",2020-05-26,16653,1663379,634,92605,15299,479969,1090805
"109",2020-05-27,18666,1682045,1379,93984,10161,490130,1097931
"110",2020-05-28,22980,1705025,1216,95200,8595,498725,1111100
"111",2020-05-29,23497,1728522,1175,96375,20844,519569,1112578
"112",2020-05-30,23826,1752348,979,97354,15669,535238,1119756
"113",2020-05-31,21686,1774034,605,97959,64629,599867,1076208
"114",2020-06-01,16040,1790074,478,98437,15549,615416,1076221
"115",2020-06-02,20039,1810113,1039,99476,30558,645974,1064663
